countryterritoryCode,GDP per capita (current US$),Current health expenditure per capita (current US$),Population ages 65 and above (% of total population),Population density,Urban population (% of total population)
BFA,715.12290404614,44.403491973877,2.4069808286635497,72.1912828947368,29.358
BDI,271.752044376648,23.500432968139602,2.24694046033717,435.17827102803705,13.032
KHM,1510.3248705764001,82.07586669921879,4.56868001756576,92.05641287106279,23.388
CMR,1533.74213975885,67.8118133544922,2.7288773552405696,53.3439889149796,56.373999999999995
CAN,46232.989622696696,4754.94775390625,17.232006678865098,4.07530821431988,81.411
CPV,3635.40684982339,167.589614868164,4.60932715666821,134.92977667493798,65.732
CYM,81124.5134794821,,,267.391666666667,100.0
CAF,475.721250544318,24.1500549316406,2.82577370666008,7.490412212270059,41.364
TCD,728.343235359289,29.730863571167003,2.4805189443490097,12.2917336404066,23.059
CHL,15923.358737538101,1381.98620605469,11.529801656881599,25.189446066651897,87.564
CHN,9770.84708783314,440.825622558594,10.9208835350654,148.348833270666,59.152
COL,6667.7906995498,459.197570800781,8.47804701986958,44.7487021180712,80.778
COG,2147.76946104594,49.9837226867676,2.68171953903232,15.3568462664715,66.916
CRI,12027.365882631599,869.077758789063,9.54984767296984,97.91306306306309,79.34
CIV,1715.5313321264903,69.74924468994139,2.85894301500285,78.8340534591195,50.778999999999996
HRV,14909.6931860854,902.1396484375,20.445433012423,73.0771979985704,56.946999999999996
CUB,8821.81889125004,987.6270141601559,15.1862114171521,108.99959623149401,77.03699999999999
CUW,19567.8924351055,,16.6848948092804,360.754504504505,89.145
CYP,28689.6985789646,1731.69445800781,13.719061773448301,128.708333333333,66.81
CZE,23078.5734865691,1475.91516113281,19.4208768932343,137.602887852888,73.792
COD,561.7771823904251,19.4316463470459,3.0178406215980296,37.0825923557045,44.46
DNK,61350.3479093986,5800.1513671875,19.8129526369902,138.067301738509,87.874
DJI,3082.5430987195696,70.3308944702148,4.52757937811482,41.368421052631604,77.777
DMA,7691.34509727878,439.59445190429705,,95.5,70.483
DOM,8050.63160184635,433.208587646484,7.08281747649721,219.97857586421,81.074
ECU,6344.87197850057,518.029602050781,7.15728972666108,68.7886817522951,63.821000000000005
EGY,2549.13225178609,105.768455505371,5.229779346209231,98.8734692852479,42.70399999999999
SLV,4058.2524392811797,282.49102783203097,8.28709000480629,309.88146718146703,72.023
GNQ,10261.7600116887,301.150054931641,2.4578773467789703,46.6657397504456,72.143
ERI,811.376028602108,32.911998748779304,4.08385636215873,31.8215049504951,35.771
EST,23266.346271875096,1300.48168945313,19.626356846974897,30.386105360018398,68.88
SWZ,4145.97411168691,224.736770629883,4.01458794083506,66.05761627906979,23.799
ETH,772.313530261357,25.261953353881804,3.5011329976098597,109.22455900000001,20.763
FRO,55822.9147203438,,,34.7399698278226,42.06399999999999
FJI,6266.96796528074,188.41432189941398,5.449680412639519,48.3570333880679,56.248000000000005
FIN,50152.340141130306,4205.74267578125,21.7207875455222,18.1568556480537,85.382
FRA,41463.644022703396,4379.72705078125,20.0346247469881,122.33839573919902,80.444
PYF,14323.820820245,,8.29050810468202,75.8685792349727,61.833999999999996
GAB,7952.525892776509,204.492248535156,3.5639074683559198,8.224764233321691,89.37
GMB,716.118488979126,23.272325515747102,2.5899809393823197,225.30652173912998,61.27
GEO,4717.143025735771,293.053588867188,14.865491431052499,65.2752020714511,58.632
DEU,47603.0276328757,5033.4521484375,21.4619619953309,237.3709697733,77.312
GHA,2202.31216442504,66.74941253662111,3.0688980069339595,130.821429199262,56.06
GIB,,,,3371.8,100.0
GRC,20324.2535641478,1516.58776855469,21.6552720778435,83.22473235065941,79.058
GRL,48181.874188064,,,0.136496528200755,86.816
GRD,10640.496760331,497.23605346679705,9.62190679562869,327.805882352941,36.272
GUM,35712.5621350321,,9.849910718594659,306.977777777778,94.78
GTM,4549.01008110721,259.935028076172,4.81207250828785,160.953779395297,51.053999999999995
GGY,,,,,
GIN,878.599613250501,33.7201118469238,2.9260224484793502,50.5222122741332,36.14
GNB,777.969921802522,52.3594093322754,2.8237163361526902,66.6539473684211,43.36
GUY,4979.00218839886,230.527282714844,6.45027124309697,3.9573482346964703,26.605999999999998
HTI,868.34202469407,62.3532791137695,4.94940384843253,403.59854862118993,55.278
VAT,,,,,
HND,2500.1132128602303,195.935745239258,4.69061765907812,85.6870319063366,57.096000000000004
HUN,16161.9805101918,981.4230346679691,19.1577253832321,107.906605545123,71.351
ISL,73191.1163154337,6086.3115234375,14.795092556568902,3.52692269326683,93.81299999999999
IND,2009.9788572703897,69.293098449707,6.1799556494714905,454.93807257524696,34.03
IDN,3893.59607757239,114.971786499023,5.857165612728631,147.75219008926,55.325
IRN,5627.7492684545605,475.47994995117205,6.18457380562499,50.222420123283996,74.898
IRQ,5834.166210760611,210.31370544433602,3.3235996627950497,88.53057003546171,70.473
IRL,78806.431996268,4976.8623046875,13.8658017012923,70.452983016403,63.17
IMN,80989.17221145019,,,147.50350877193,52.588
ISR,41715.0292840432,3144.62622070313,11.9769860249625,410.526802218115,92.41799999999999
ITA,34483.2039992043,2840.13061523438,22.7516796025077,205.45074794315602,70.438
JAM,5354.2368587703,307.196044921875,8.79664255070196,270.993074792244,55.674
JPN,39289.9584346358,4168.986328125,27.576369910355,347.07345841562403,91.616
JEY,,,,,
JOR,4241.78878213854,340.66180419921903,3.8464903979983402,112.14249831043001,90.979
KAZ,9812.60113654067,279.64532470703097,7.39184627103032,6.76982590658221,57.428000000000004
KEN,1710.51009699405,76.6103210449219,2.33918661191556,90.29941666373828,27.03
XKX,4302.27648252378,,,168.154679893451,
KWT,33994.4065667831,1529.07763671875,2.55047238400198,232.172222222222,100.0
KGZ,1281.36366078545,78.8228378295898,4.494727975596559,32.9290928050052,36.351
LAO,2542.4865281792,62.1246337890625,4.075149964448101,30.5957842287695,35.004
LVA,17860.6171980214,930.3523559570309,20.0436203206809,30.9833065294307,68.142
LBN,8269.78767551923,719.443481445313,7.002368134392941,669.4941348973609,88.59299999999999
LBR,677.322178545364,56.599029541015604,3.25343179968014,50.030907392026606,51.151
LBY,7241.70448113024,312.57733154296903,4.39204025898401,3.7956323811905404,80.102
LIE,165028.245029187,,,236.9375,14.338
LTU,19153.4089860651,1078.17919921875,19.7050331564608,44.5313513780643,67.679
LUX,116639.88804711,5782.62841796875,14.183154184147199,250.09382716049402,90.98100000000001
MDG,527.501285041282,24.670837402343803,2.98671712579162,45.1398556204881,37.191
MWI,389.398033178836,32.2593841552734,2.64543493031032,192.440761561307,16.937
MYS,11373.2330025676,384.066070556641,6.67175462547886,95.9628214883579,76.036
MDV,10330.615614094,1006.93878173828,3.70334460612454,1718.9866666666699,39.808
MLI,899.659908096615,31.3781051635742,2.50722975755683,15.635015858186,42.356
MLT,30098.2833099975,2585.56396484375,20.3493242997122,1511.03125,94.61200000000001
MRT,1188.8345875397301,48.8171310424805,3.14111215805009,4.27216357815077,53.672
MUS,11238.6903948961,599.699768066406,11.474173068652199,623.30197044335,40.793
MEX,9673.44367360619,494.677642822266,7.2236849808719805,64.9146264050001,80.156
MDA,3227.3121916043,191.18577575683602,11.469556341351199,123.51980353223999,42.629
MCO,185741.27999158698,2932.421875,,19196.0,100.0
MNG,4121.73243469391,148.78445434570298,4.083538787262451,2.0406086665465097,68.445
MNE,8844.23698538056,,14.9749366447439,46.271003717472105,66.813
MSR,,,,,
MAR,3222.20063433213,161.01086425781298,7.0129048211122,80.72851893345279,62.453
MOZ,498.95722020865196,21.0711555480957,2.8907644574499,37.508535313716,35.988
MMR,1325.9529237064,58.0439567565918,5.7846419325720895,82.23861548355491,30.579
NAM,5931.453886116171,447.280639648438,3.6360316807451403,2.9737455817512704,50.032
NPL,1033.91243082634,47.9153633117676,5.72767077569198,195.939107080572,19.74
NLD,53024.05921305309,4911.4404296875,19.1961926333387,511.45791035915704,91.49
NCL,12579.595105586399,,9.174157925376711,15.5393873085339,70.683
NZL,41945.3316690932,3937.22192382813,15.652424527174098,18.5541756864532,86.538
NIC,2028.8947553936898,192.083389282227,5.24749744838026,53.7270483629716,58.522
NER,413.980304962089,29.2616500854492,2.5950078826985297,17.717650588142398,16.425
NGA,2028.1819701759803,73.9249801635742,2.7473770053274302,215.06498896538102,50.343999999999994
MKD,6083.71894832148,328.419799804688,13.6701813815648,82.59151467089609,57.963
MNP,23258.675855279398,,,123.65652173913,91.618
NOR,81697.2459836768,7936.375,17.0492221563211,14.554919537497499,82.24799999999999
OMN,16415.157278098897,587.646301269531,2.39278695625796,15.6041453957997,84.539
PAK,1482.40306306798,44.5929641723633,4.312774311337559,275.28931870070596,36.666
PSE,3198.86664447405,,3.13330573708009,758.984551495017,76.164
PAN,15575.072548291499,1112.30322265625,8.104731079667571,56.1860774818402,67.709
PNG,2730.27479935873,61.45783996582029,3.4452692514561702,19.004363379410897,13.169
PRY,5821.81432292324,381.11306762695295,6.4302150094608095,17.5083589227284,61.585
PER,6941.235847630121,332.570922851563,8.08839279183076,24.99160625,77.907
PHL,3102.7133632993105,132.900985717773,5.12256876829946,357.688305329175,46.907
POL,15420.911163429499,906.8201293945309,17.5178167625452,124.035886214442,60.058
PRT,23407.906588796803,1908.0339355468802,21.9538575375873,112.23945350806999,65.211
PRI,31651.3481514031,,18.674850210356897,360.220180383315,93.57799999999999
QAT,68793.78443726139,1649.18615722656,1.3700703387375,239.59319552110298,99.135
ROU,12301.1864034302,555.104736328125,18.338701393829602,84.6398470097357,53.998000000000005
RUS,11288.8784475021,585.873229980469,14.6747083203719,8.82207955488442,74.433
RWA,772.944459929187,49.2044563293457,2.9381960775388,498.659870287799,17.211
KNA,19275.4185126566,902.6589965820309,,201.69615384615398,30.776
LCA,10566.0497458462,460.06881713867205,9.806530356426169,298.17868852459,18.678
VCT,7361.4009618002,320.593292236328,9.58978686338024,282.589743589744,52.198
SMR,48494.5514112427,3361.64477539063,,563.083333333333,97.226
STP,2001.1409022616397,119.695655822754,2.9256781090661,219.820833333333,72.803
SAU,23338.9634580718,1093.40551757813,3.31408802294981,15.6766543082956,83.844
SEN,1521.95355421391,55.0140380859375,3.08682370101833,82.3474783150678,47.192
SRB,7246.73165586437,528.545166015625,18.3457926916963,79.8317402241024,56.092
SYC,16433.9352865158,791.6566772460941,7.5945456043503405,210.35217391304298,56.691
SLE,533.991184258936,66.4021835327148,2.96655621131612,105.987170961485,42.055
SGP,64581.9440183954,2618.71240234375,11.4633801933791,7952.9984184018,100.0
SXM,,,,1193.3529411764698,100.0
SVK,19442.705762069298,1186.13635253906,15.629246504777,113.290578202995,53.726000000000006
SVN,26123.9738694646,1920.28186035156,19.6068796541788,102.639859503382,54.541000000000004
SOM,314.544165670763,,2.8733109429455603,23.923476902477102,44.971000000000004
ZAF,6374.02819575944,499.237548828125,5.31800500542302,47.630119776768396,66.355
KOR,31362.75147294,2283.07470703125,14.418555832396901,529.652103632681,81.459
SSD,1119.65133182314,22.888572692871104,3.39848287985152,,19.615
ESP,30370.8923252247,2506.46484375,19.3785075224995,93.5290582615872,80.321
LKA,4102.481350144671,159.48474121093798,10.4732197537841,345.558922022006,18.476
SDN,977.273635724417,193.793045043945,3.58116052825144,,34.641999999999996
SUR,6234.04492230646,339.327972412109,6.90636990225525,3.69225,66.06
SWE,54608.3602546906,5904.583984375,20.0955249278002,25.001043431293102,87.431
CHE,82796.54716312849,9956.259765625,18.6232165647717,215.521378417094,73.797
SYR,2032.6234893270102,69.89218902587889,4.50312442147583,92.0671077710614,54.162
TWN,,,,,
THA,7273.563207320921,247.035110473633,11.9008931395893,135.897206835131,49.949
TLS,2035.5339076888101,83.1977081298828,4.31649229400603,85.270477471419,30.578000000000003
TGO,679.257083602874,38.048713684081996,2.8694680110882205,145.04677330391598,41.702
TTO,17129.9130902577,1124.09167480469,10.7349535163324,270.927485380117,53.184
TUN,3447.5079097555104,250.562225341797,8.315679078988769,74.44132337796091,68.945
TUR,9370.1763438282,444.653686523438,8.4832129399716,106.960128893104,75.143
TCA,27142.2277976902,,,39.647368421052605,93.098
UGA,642.776744292007,38.426441192627,1.9409869204631698,213.06173449032502,23.774
UKR,3095.17358053586,177.408889770508,16.434686439201602,77.02966735141291,69.352
ARE,43004.9533584848,1357.01745605469,1.0850009848448101,135.609110109828,86.522
GBR,42943.9022698053,3858.67431640625,18.395865674146602,274.82739222089003,83.398
TZA,1060.99461489421,33.916576385498,2.60129917835952,63.579078798825904,33.775999999999996
USA,62794.5856522398,10246.138671875,15.8076540556035,35.766088580168,82.256
VIR,35938.0243875154,,19.288307222009898,305.648571428571,95.721
URY,17277.9701105496,1591.533203125,14.8145195308593,19.7080276539824,95.334
UZB,1532.37167679684,98.82457733154301,4.419137878136401,77.46920545369059,50.478
VEN,16054.490513096202,94.22937774658199,7.266986620125969,32.7307919052208,88.208
VNM,2566.59694958511,129.57595825195298,7.2749782978793,308.12524591221296,35.919000000000004
YEM,944.4084993734191,72.0394668579102,2.87626975604452,53.9778529083092,36.641999999999996
ZMB,1539.9001577990698,67.6486663818359,2.09967802593266,23.341478900711603,43.521
ZWE,2146.99638487707,110.149620056152,2.9395236530011295,37.3245909267158,32.209
