"country_code","pct_positive","test_by_million","gdp_per_capita","health_expenditure_per_capita","percent_population_65_above","population_density","percent_urban_population"
"DEU",7.7,20786,47603.0276328757,5033.4521484375,21.4619619953309,237.3709697733,77.312
"GHA",4.9,727.5,2202.31216442504,66.7494125366211,3.06889800693396,130.821429199262,56.06
"GIB",9.67692307692308,15350.0256410256,40362.4862464801,2924.5544029442,18.2010733390767,3371.8,100
"GRC",6.4,2654,20324.2535641478,1516.58776855469,21.6552720778435,83.2247323506594,79.058
"GRL",9.67692307692308,15350.0256410256,48181.874188064,2924.5544029442,18.2010733390767,0.136496528200755,86.816
"GRD",15.2,825,10640.496760331,497.236053466797,9.62190679562869,327.805882352941,36.272
"GTM",12.10625,1585.8125,4549.01008110721,259.935028076172,4.81207250828785,160.953779395297,51.054
"GIN",4.9,727.5,878.599613250501,33.7201118469238,2.92602244847935,50.5222122741332,36.14
"GNB",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"GUY",12.10625,1585.8125,4979.00218839886,230.527282714844,6.45027124309697,3.95734823469647,26.606
"HTI",12.10625,1585.8125,868.34202469407,62.3532791137695,4.94940384843253,403.59854862119,55.278
"VAT",9.67692307692308,15350.0256410256,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"HND",12.10625,1585.8125,2500.11321286023,195.935745239258,4.69061765907812,85.6870319063366,57.096
"HUN",4.2,4492,16161.9805101918,981.423034667969,19.1577253832321,107.906605545123,71.351
"ISL",4.3,112807,73191.1163154337,6086.3115234375,14.7950925565689,3.52692269326683,93.813
"IND",4.4,248,2009.97885727039,69.293098449707,6.17995564947149,454.938072575247,34.03
"IDN",16,139,3893.59607757239,114.971786499023,5.85716561272863,147.75219008926,55.325
"IRN",24.9,3845,5627.74926845456,475.479949951172,6.18457380562499,50.222420123284,74.898
"IRQ",7.43333333333333,18224.1111111111,5834.16621076061,210.313705444336,3.32359966279505,88.5305700354617,70.473
"IRL",12.7,19036,78806.431996268,4976.8623046875,13.8658017012923,70.452983016403,63.17
"IMN",9.67692307692308,15350.0256410256,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"ISR",6.1,23439,41715.0292840432,3144.62622070313,11.9769860249625,410.526802218115,92.418
"ITA",13.9,20626,34483.2039992043,2840.13061523438,22.7516796025077,205.450747943156,70.438
"JAM",10.8,556,5354.2368587703,307.196044921875,8.79664255070196,270.993074792244,55.674
"JPN",8.8,882,39289.9584346358,4168.986328125,27.576369910355,347.073458415624,91.616
"JOR",7.43333333333333,18224.1111111111,4241.78878213854,340.661804199219,3.84649039799834,112.14249831043,90.979
"KAZ",3.6,2163,9812.60113654067,279.645324707031,7.39184627103032,6.76982590658221,57.428
"KEN",4.9,727.5,1710.51009699405,76.6103210449219,2.33918661191556,90.2994166637383,27.03
"KOR",2,10568,17727.5126523875,1586.19880167643,14.1935974108943,165.820966784278,73.0709999999999
"XKX",11.6,2278,4302.27648252378,2924.5544029442,18.2010733390767,168.154679893451,73.0538333333322
"KWT",7.43333333333333,18224.1111111111,33994.4065667831,1529.07763671875,2.55047238400198,232.172222222222,100
"KGZ",1.7,4625,1281.36366078545,78.8228378295898,4.49472797559656,32.9290928050052,36.351
"LAO",7.97166666666667,2807.33333333333,2542.4865281792,62.1246337890625,4.0751499644481,30.5957842287695,35.004
"LVA",2.2,15571,17860.6171980214,930.352355957031,20.0436203206809,30.9833065294307,68.142
"LBN",7.43333333333333,18224.1111111111,8269.78767551923,719.443481445313,7.00236813439294,669.494134897361,88.593
"LBR",4.9,727.5,677.322178545364,56.5990295410156,3.25343179968014,50.0309073920266,51.151
"LBY",4.9,727.5,7241.70448113024,312.577331542969,4.39204025898401,3.79563238119054,80.102
"LIE",9.67692307692308,15350.0256410256,165028.245029187,2924.5544029442,18.2010733390767,236.9375,14.338
"LTU",2.1,21048,19153.4089860651,1078.17919921875,19.7050331564608,44.5313513780643,67.679
"LUX",10.9,50566,116639.88804711,5782.62841796875,14.1831541841472,250.093827160494,90.981
"MDG",4.9,727.5,527.501285041282,24.6708374023438,2.98671712579162,45.1398556204881,37.191
"MWI",4.9,727.5,389.398033178836,32.2593841552734,2.64543493031032,192.440761561307,16.937
"MYS",5.3,3076,11373.2330025676,384.066070556641,6.67175462547886,95.9628214883579,76.036
"MDV",5.6775,445.5,10330.615614094,1006.93878173828,3.70334460612454,1718.98666666667,39.808
"MLI",4.9,727.5,899.659908096615,31.3781051635742,2.50722975755683,15.635015858186,42.356
"MLT",2.3,32450,30098.2833099975,2585.56396484375,20.3493242997122,1511.03125,94.612
"MRT",4.9,727.5,1188.83458753973,48.8171310424805,3.14111215805009,4.27216357815077,53.672
"MUS",4.9,727.5,11238.6903948961,599.699768066406,11.4741730686522,623.30197044335,40.793
"MEX",12.7,289,9673.44367360619,494.677642822266,7.22368498087198,64.9146264050001,80.156
"MDA",9.67692307692308,15350.0256410256,3227.3121916043,191.185775756836,11.4695563413512,123.51980353224,42.629
"MCO",9.67692307692308,15350.0256410256,185741.279991587,2932.421875,18.2010733390767,19196,100
"MNG",3.85333333333333,4551.66666666667,4121.73243469391,148.784454345703,4.08353878726245,2.04060866654651,68.445
"MNE",7.2,6750,8844.23698538056,2924.5544029442,14.9749366447439,46.2710037174721,66.813
"MSR",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"MAR",7.43333333333333,18224.1111111111,3222.20063433213,161.010864257813,7.0129048211122,80.7285189334528,62.453
"MOZ",4.9,727.5,498.957220208652,21.0711555480957,2.8907644574499,37.508535313716,35.988
"NAM",4.9,727.5,5931.45388611617,447.280639648438,3.63603168074514,2.97374558175127,50.032
"NPL",0.11,978,1033.91243082634,47.9153633117676,5.72767077569198,195.939107080572,19.74
"NLD",20.5,8523,53024.0592130531,4911.4404296875,19.1961926333387,511.457910359157,91.49
"NCL",7.97166666666667,2807.33333333333,11456.8251091974,439.986348470052,6.93158344800087,1018.82593539376,53.1973333333336
"NZL",1.4,15904,57373.686684128,5331.81787109375,15.6564752275591,3.24912948744283,86.0119999999999
"NIC",12.10625,1585.8125,2028.89475539369,192.083389282227,5.24749744838026,53.7270483629716,58.522
"NER",4.9,727.5,413.980304962089,29.2616500854492,2.59500788269853,17.7176505881424,16.425
"NGA",7.4,32,2028.18197017598,73.9249801635742,2.74737700532743,215.064988965381,50.344
"MKD",10.3,3879,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"NOR",5.1,23154,81697.2459836768,7936.375,17.0492221563211,14.5549195374975,82.248
"OMN",7.43333333333333,18224.1111111111,16415.1572780989,587.646301269531,2.39278695625796,15.6041453957997,84.539
"PAK",8.1,427,1482.40306306798,44.5929641723633,4.31277431133756,275.289318700706,36.666
"PAN",22.5,4274,15575.0725482915,1112.30322265625,8.10473107966757,56.1860774818402,67.709
"PNG",7.97166666666667,2807.33333333333,11456.8251091974,439.986348470052,6.93158344800087,1018.82593539376,53.1973333333336
"PRY",12.10625,1585.8125,5821.81432292324,381.113067626953,6.43021500946081,17.5083589227284,61.585
"PER",10.6,3885,6941.23584763012,332.570922851563,8.08839279183076,24.99160625,77.907
"PHL",10.5,555,3102.71336329931,132.900985717773,5.12256876829946,357.688305329175,46.907
"POL",4.6,4680,15420.9111634295,906.820129394531,17.5178167625452,124.035886214442,60.058
"PRT",10.3,15921,23407.9065887968,1908.03393554688,21.9538575375873,112.23945350807,65.211
"QAT",7.43333333333333,18224.1111111111,68793.7844372614,1649.18615722656,1.3700703387375,239.593195521103,99.135
"ROU",9.7,4104,12301.1864034302,555.104736328125,18.3387013938296,84.6398470097357,53.998
"RUS",2,12483,11288.8784475021,585.873229980469,14.6747083203719,8.82207955488442,74.433
"RWA",4.9,727.5,772.944459929187,49.2044563293457,2.9381960775388,498.659870287799,17.211
"KNA",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"LCA",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"VCT",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"SMR",9.67692307692308,15350.0256410256,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"STP",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"SAU",7.43333333333333,18224.1111111111,12573.6324948951,638.028501410233,5.96524730338687,270.427173153333,72.8312499999999
"SEN",4.9,727.5,1521.95355421391,55.0140380859375,3.08682370101833,82.3474783150678,47.192
"SRB",16.6,5174,7246.73165586437,528.545166015625,18.3457926916963,79.8317402241024,56.092
"SYC",4.9,727.5,16433.9352865158,791.656677246094,7.59454560435034,210.352173913043,56.691
"SLE",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"SGP",8.5,10474,64581.9440183954,2618.71240234375,11.4633801933791,7952.9984184018,100
"SXM",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"SVK",2.7,7328,19442.7057620693,1186.13635253906,15.629246504777,113.290578202995,53.726
"SVN",3.4,17166,26123.9738694646,1920.28186035156,19.6068796541788,102.639859503382,54.541
"SOM",4.9,727.5,314.544165670763,130.335712814331,2.87331094294556,23.9234769024771,44.971
"ZAF",2.4,1423,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"SSD",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"ESP",18.2,19905,30370.8923252247,2506.46484375,19.3785075224995,93.5290582615872,80.321
"LKA",5.6775,445.5,2705.65667738748,178.373556613922,4.93183957093806,505.460797494673,32.9806250000005
"SDN",4.9,727.5,977.273635724417,193.793045043945,3.58116052825144,109.780013895103,34.642
"SUR",12.10625,1585.8125,6234.04492230646,339.327972412109,6.90636990225525,3.69225,66.06
"SWE",16,8705,54608.3602546906,5904.583984375,20.0955249278002,25.0010434312931,87.431
"CHE",13,23644,82796.5471631285,9956.259765625,18.6232165647717,215.521378417094,73.797
"SYR",7.43333333333333,18224.1111111111,2032.62348932701,69.8921890258789,4.50312442147583,92.0671077710614,54.162
"TWN",0.76,2205,17727.5126523875,1586.19880167643,14.1935974108943,165.820966784278,73.0709999999999
"TZA",4.9,727.5,2655.8810250476,130.335712814331,3.4066687592805,109.780013895103,44.0704722222236
"THA",7.4,511,7273.56320732092,247.035110473633,11.9008931395893,135.897206835131,49.949
"TLS",7.97166666666667,2807.33333333333,11456.8251091974,439.986348470052,6.93158344800087,1018.82593539376,53.1973333333336
"TGO",4.9,727.5,679.257083602874,38.048713684082,2.86946801108822,145.046773303916,41.702
"TTO",8.8,952,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"TUN",7.43333333333333,18224.1111111111,3447.50790975551,250.562225341797,8.31567907898877,74.4413233779609,68.945
"TUR",14.1,6715,9370.1763438282,444.653686523438,8.4832129399716,106.960128893104,75.143
"TCA",12.10625,1585.8125,10309.2855383076,623.480199584961,8.88537818977814,133.04407326144,66.5725925925934
"USA",19.5,10871,65990.5275185377,4754.94775390625,17.2320066788651,594.33393994313,90.7055
"UGA",4.9,727.5,642.776744292007,38.426441192627,1.94098692046317,213.061734490325,23.774
"UKR",9.7,1250,3095.17358053586,177.408889770508,16.4346864392016,77.0296673514129,69.352
"ARE",0.7,79901,12573.6324948951,638.028501410233,5.96524730338687,270.427173153333,72.8312499999999
"GBR",32,5286,40362.4862464801,2924.5544029442,18.2010733390767,668.898411311735,73.0538333333322
"URY",12.3,443,17277.9701105496,1591.533203125,14.8145195308593,19.7080276539824,95.334
"UZB",2.65,3394,1532.37167679684,98.824577331543,4.4191378781364,77.4692054536906,50.478
"VEN",8,62,16054.4905130962,94.229377746582,7.26698662012597,32.7307919052208,88.208
"VNM",0.13,2089,2566.59694958511,129.575958251953,7.2749782978793,308.125245912213,35.919
"PSE",1.6,3363,3198.86664447405,638.028501410233,3.13330573708009,758.984551495017,76.164
"YEM",7.43333333333333,18224.1111111111,944.408499373419,72.0394668579102,2.87626975604452,53.9778529083092,36.642
"ZMB",4.9,727.5,1539.90015779907,67.6486663818359,2.09967802593266,23.3414789007116,43.521
"ZWE",4.9,727.5,2146.99638487707,110.149620056152,2.93952365300113,37.3245909267158,32.209
