countryterritoryCode,countriesAndTerritories,GDP per capita (current US$),Current health expenditure per capita (current US$),Population ages 65 and above (% of total population),Population density,Urban population (% of total population)
AFG,Afghanistan,520.896602719135,67.12265014648439,2.58492693988024,56.937760009803,25.495
ALB,Albania,5268.84850355919,,13.7447359109736,104.61226277372299,60.318999999999996
DZA,Algeria,4114.71506136896,258.494293212891,6.3624965449798605,17.7300750711665,72.62899999999999
AND,Andorra,42029.7627372989,4040.78662109375,,163.842553191489,88.06200000000001
AGO,Angola,3432.38573600893,114.45964050293001,2.21637364776329,24.713052057431604,65.514
ATG,Antigua_and_Barbuda,16726.9808079479,673.859680175781,8.79982551980558,218.83181818181802,24.599
ARG,Argentina,11683.949621636299,1324.603515625,11.1177888760774,16.2585100979651,91.87
ARM,Armenia,4212.0709427293705,407.635864257813,11.2538176570131,103.68022479803301,63.148999999999994
ABW,Aruba,25630.266492206898,,13.5509471396854,588.027777777778,43.411
AUS,Australia,57373.68668412809,5331.81787109375,15.656475227559099,3.24912948744283,86.012
AUT,Austria,51461.9547804677,4939.87548828125,19.0015664595899,107.20692666757799,58.297
AZE,Azerbaijan,4721.17808673142,275.809356689453,6.195182750714929,120.265319946776,55.68
BHS,Bahamas,32217.871590084,1771.53552246094,7.25760235662035,38.5254745254745,83.025
BHR,Bahrain,24050.7575053956,1127.18627929688,2.42633387832394,2017.27369979138,89.287
BGD,Bangladesh,1698.26280233547,36.2823371887207,5.15839063962068,1239.5793116693599,36.632
BRB,Barbados,17949.2815054371,1183.83618164063,15.802693962133802,666.606976744186,31.147
BLR,Belarus,6289.93855308212,342.499908447266,14.8451481743098,46.7287999040892,78.595
BEL,Belgium,47518.636038891396,4507.3564453125,18.7887437383395,377.21492734478204,98.001
BLZ,Belize,4884.74242133376,280.498809814453,4.736458776571441,16.7939938623411,45.724
BEN,Benin,901.5438712063569,30.7664470672607,3.25360529746338,101.853919829727,47.312
BMU,Bermuda,85748.0654143782,,,1184.59257167194,100.0
BTN,Bhutan,3243.23112508014,96.7993011474609,6.003011712805611,19.7775277714448,40.895
BOL,Bolivia,3548.5901397933794,220.274566650391,7.19194739218447,10.4801458506416,69.425
BIH,Bosnia_and_Herzegovina,6065.67270824158,460.473327636719,16.4703174710621,64.92048828125,48.245
BWA,Botswana,8258.641665746909,465.929321289063,4.22387434629301,3.9774248760432704,69.446
BRA,Brazil,8920.76210462979,928.79931640625,8.92283783244003,25.061716243087602,86.569
VGB,British_Virgin_Islands,,,,198.68,47.723
BRN,Brunei_Darussalam,31628.328791434902,671.4114990234381,4.8731475675058205,81.39696394686909,77.62899999999999
BGR,Bulgaria,9272.62930360848,663.715087890625,21.021914434268,64.7035372144436,75.008
BFA,Burkina_Faso,715.12290404614,44.403491973877,2.4069808286635497,72.1912828947368,29.358
BDI,Burundi,271.752044376648,23.500432968139602,2.24694046033717,435.17827102803705,13.032
KHM,Cambodia,1510.3248705764001,82.07586669921879,4.56868001756576,92.05641287106279,23.388
CMR,Cameroon,1533.74213975885,67.8118133544922,2.7288773552405696,53.3439889149796,56.373999999999995
CAN,Canada,46232.989622696696,4754.94775390625,17.232006678865098,4.07530821431988,81.411
CPV,Cape_Verde,3635.40684982339,167.589614868164,4.60932715666821,134.92977667493798,65.732
CYM,Cayman_Islands,81124.5134794821,,,267.391666666667,100.0
CAF,Central_African_Republic,475.721250544318,24.1500549316406,2.82577370666008,7.490412212270059,41.364
TCD,Chad,728.343235359289,29.730863571167003,2.4805189443490097,12.2917336404066,23.059
CHL,Chile,15923.358737538101,1381.98620605469,11.529801656881599,25.189446066651897,87.564
CHN,China,9770.84708783314,440.825622558594,10.9208835350654,148.348833270666,59.152
COL,Colombia,6667.7906995498,459.197570800781,8.47804701986958,44.7487021180712,80.778
COG,Congo,2147.76946104594,49.9837226867676,2.68171953903232,15.3568462664715,66.916
CRI,Costa_Rica,12027.365882631599,869.077758789063,9.54984767296984,97.91306306306309,79.34
CIV,Cote_dIvoire,1715.5313321264903,69.74924468994139,2.85894301500285,78.8340534591195,50.778999999999996
HRV,Croatia,14909.6931860854,902.1396484375,20.445433012423,73.0771979985704,56.946999999999996
CUB,Cuba,8821.81889125004,987.6270141601559,15.1862114171521,108.99959623149401,77.03699999999999
CUW,Curaçao,19567.8924351055,,16.6848948092804,360.754504504505,89.145
CYP,Cyprus,28689.6985789646,1731.69445800781,13.719061773448301,128.708333333333,66.81
CZE,Czechia,23078.5734865691,1475.91516113281,19.4208768932343,137.602887852888,73.792
COD,Democratic_Republic_of_the_Congo,561.7771823904251,19.4316463470459,3.0178406215980296,37.0825923557045,44.46
DNK,Denmark,61350.3479093986,5800.1513671875,19.8129526369902,138.067301738509,87.874
DJI,Djibouti,3082.5430987195696,70.3308944702148,4.52757937811482,41.368421052631604,77.777
DMA,Dominica,7691.34509727878,439.59445190429705,,95.5,70.483
DOM,Dominican_Republic,8050.63160184635,433.208587646484,7.08281747649721,219.97857586421,81.074
ECU,Ecuador,6344.87197850057,518.029602050781,7.15728972666108,68.7886817522951,63.821000000000005
EGY,Egypt,2549.13225178609,105.768455505371,5.229779346209231,98.8734692852479,42.70399999999999
SLV,El_Salvador,4058.2524392811797,282.49102783203097,8.28709000480629,309.88146718146703,72.023
GNQ,Equatorial_Guinea,10261.7600116887,301.150054931641,2.4578773467789703,46.6657397504456,72.143
ERI,Eritrea,811.376028602108,32.911998748779304,4.08385636215873,31.8215049504951,35.771
EST,Estonia,23266.346271875096,1300.48168945313,19.626356846974897,30.386105360018398,68.88
SWZ,Eswatini,4145.97411168691,224.736770629883,4.01458794083506,66.05761627906979,23.799
ETH,Ethiopia,772.313530261357,25.261953353881804,3.5011329976098597,109.22455900000001,20.763
FRO,Faroe_Islands,55822.9147203438,,,34.7399698278226,42.06399999999999
FJI,Fiji,6266.96796528074,188.41432189941398,5.449680412639519,48.3570333880679,56.248000000000005
FIN,Finland,50152.340141130306,4205.74267578125,21.7207875455222,18.1568556480537,85.382
FRA,France,41463.644022703396,4379.72705078125,20.0346247469881,122.33839573919902,80.444
PYF,French_Polynesia,14323.820820245,,8.29050810468202,75.8685792349727,61.833999999999996
GAB,Gabon,7952.525892776509,204.492248535156,3.5639074683559198,8.224764233321691,89.37
GMB,Gambia,716.118488979126,23.272325515747102,2.5899809393823197,225.30652173912998,61.27
GEO,Georgia,4717.143025735771,293.053588867188,14.865491431052499,65.2752020714511,58.632
DEU,Germany,47603.0276328757,5033.4521484375,21.4619619953309,237.3709697733,77.312
GHA,Ghana,2202.31216442504,66.74941253662111,3.0688980069339595,130.821429199262,56.06
GIB,Gibraltar,,,,3371.8,100.0
GRC,Greece,20324.2535641478,1516.58776855469,21.6552720778435,83.22473235065941,79.058
GRL,Greenland,48181.874188064,,,0.136496528200755,86.816
GRD,Grenada,10640.496760331,497.23605346679705,9.62190679562869,327.805882352941,36.272
GUM,Guam,35712.5621350321,,9.849910718594659,306.977777777778,94.78
GTM,Guatemala,4549.01008110721,259.935028076172,4.81207250828785,160.953779395297,51.053999999999995
GGY,Guernsey,,,,,
GIN,Guinea,878.599613250501,33.7201118469238,2.9260224484793502,50.5222122741332,36.14
