date,country,confirmed,recovered,deaths,country_code,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,StringencyIndex,StringencyIndexForDisplay,pct_positive,test_by_million
2020-01-23,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-24,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-25,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-26,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-27,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-28,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-29,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-30,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-01-31,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-01,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-02,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-03,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-04,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-05,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-06,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-07,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-08,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-09,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-10,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-11,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-12,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-13,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-14,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-15,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-16,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-17,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-18,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-19,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-20,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-21,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-22,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-23,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-24,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-25,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-26,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-27,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-28,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-02-29,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-01,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-02,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-03,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-04,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-05,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-06,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-07,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-08,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-09,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-10,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
2020-03-11,Uruguay,0.0,0.0,0.0,URY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,9.25,,0.0,0.0,0.0,0.0,0.0,12.3,443.0
